municipality_code,municipality_name,comarca_code,comarca_name,reference_period,rfdb_total_eur,rfdb_eur_per_capita,rfdb_index_catalonia_100,score_0_100,confidence_0_100,data_scope,source_id,source_updated_at,retrieved_at,method_version,missing_reason,notes,score_status,score_min_0_100,score_max_0_100,coverage_weight_pct,rank_stability_0_100,source_tier,method_variant,usable_for_composite
431747,la Vilella Baixa,29,Priorat,2023,,,,,0,missing,idescat_rfdbc_21181_25017,,2026-08-21T21:48:17Z,0.2.0,not_published,,engineering_pending,0,100,0,,official,default,false
431750,Vilalba dels Arcs,37,Terra Alta,2023,,,,,0,missing,idescat_rfdbc_21181_25017,,2026-08-21T21:48:17Z,0.2.0,not_published,,engineering_pending,0,100,0,,official,default,false
431763,Vimbodí i Poblet,16,Conca de Barberà,2023,,,,,0,missing,idescat_rfdbc_21181_25017,,2026-08-21T21:48:17Z,0.2.0,not_published,,engineering_pending,0,100,0,,official,default,false
431779,Vinebre,30,Ribera d'Ebre,2023,,,,,0,missing,idescat_rfdbc_21181_25017,,2026-08-21T21:48:17Z,0.2.0,not_published,,engineering_pending,0,100,0,,official,default,false
431785,Vinyols i els Arcs,08,Baix Camp,2023,44018000,18433,88.7,34.1467,85,municipality,idescat_rfdbc_21181_25017,,2026-08-21T21:48:17Z,0.2.0,,,complete,34.1467,34.1467,100,,official,default,true
439018,Deltebre,09,Baix Ebre,2023,187732000,15794,76,5.5516,85,municipality,idescat_rfdbc_21181_25017,,2026-08-21T21:48:17Z,0.2.0,,,complete,5.5516,5.5516,100,,official,default,true
439023,Sant Jaume d'Enveja,22,Montsià,2023,53801000,14752,71,0,85,municipality,idescat_rfdbc_21181_25017,,2026-08-21T21:48:17Z,0.2.0,,,complete,0,0,100,,official,default,true
439039,Camarles,09,Baix Ebre,2023,52235000,15395,74.1,1.2282,85,municipality,idescat_rfdbc_21181_25017,,2026-08-21T21:48:17Z,0.2.0,,,complete,1.2282,1.2282,100,,official,default,true
439044,l'Aldea,09,Baix Ebre,2023,67113000,14835,71.4,0,85,municipality,idescat_rfdbc_21181_25017,,2026-08-21T21:48:17Z,0.2.0,,,complete,0,0,100,,official,default,true
439057,Salou,36,Tarragonès,2023,487814000,16118,77.5,9.0623,85,municipality,idescat_rfdbc_21181_25017,,2026-08-21T21:48:17Z,0.2.0,,,complete,9.0623,9.0623,100,,official,default,true
439060,l'Ampolla,09,Baix Ebre,2023,60109000,16396,78.9,12.0746,85,municipality,idescat_rfdbc_21181_25017,,2026-08-21T21:48:17Z,0.2.0,,,complete,12.0746,12.0746,100,,official,default,true
439076,la Canonja,36,Tarragonès,2023,100623000,16960,81.6,18.1859,85,municipality,idescat_rfdbc_21181_25017,,2026-08-21T21:48:17Z,0.2.0,,,complete,18.1859,18.1859,100,,official,default,true
