municipality_code,municipality_name,comarca_code,comarca_name,reference_period,touches_coast,distance_to_coast_km,score_0_100,confidence_0_100,data_scope,source_id,source_updated_at,retrieved_at,method_version,missing_reason,notes,score_status,score_min_0_100,score_max_0_100,coverage_weight_pct,rank_stability_0_100,source_tier,method_variant,usable_for_composite
171576,Sant Andreu Salou,20,Gironès,2026-02,false,17.986571,69.7864,100,municipality,icgc_coast_v1r0_202602,,2026-08-21T18:23:41Z,0.2.0,,,complete,69.7864,69.7864,100,,official,default,true
171582,Sant Climent Sescebes,02,Alt Empordà,2026-02,false,14.405528,74.9679,100,municipality,icgc_coast_v1r0_202602,,2026-08-21T18:23:41Z,0.2.0,,,complete,74.9679,74.9679,100,,official,default,true
171595,Sant Feliu de Buixalleu,34,Selva,2026-02,false,20.747388,66.0375,100,municipality,icgc_coast_v1r0_202602,,2026-08-21T18:23:41Z,0.2.0,,,complete,66.0375,66.0375,100,,official,default,true
171609,Sant Feliu de Guíxols,10,Baix Empordà,2026-02,true,0.126642,100,100,municipality,icgc_coast_v1r0_202602,,2026-08-21T18:23:41Z,0.2.0,,,complete,100,100,100,,official,default,true
171616,Sant Feliu de Pallerols,19,Garrotxa,2026-02,false,50.128489,36.6935,100,municipality,icgc_coast_v1r0_202602,,2026-08-21T18:23:41Z,0.2.0,,,complete,36.6935,36.6935,100,,official,default,true
171621,Sant Ferriol,19,Garrotxa,2026-02,false,36.465857,48.2238,100,municipality,icgc_coast_v1r0_202602,,2026-08-21T18:23:41Z,0.2.0,,,complete,48.2238,48.2238,100,,official,default,true
171637,Sant Gregori,20,Gironès,2026-02,false,31.511465,53.247,100,municipality,icgc_coast_v1r0_202602,,2026-08-21T18:23:41Z,0.2.0,,,complete,53.247,53.247,100,,official,default,true
171642,Sant Hilari Sacalm,34,Selva,2026-02,false,32.189521,52.5298,100,municipality,icgc_coast_v1r0_202602,,2026-08-21T18:23:41Z,0.2.0,,,complete,52.5298,52.5298,100,,official,default,true
171655,Sant Jaume de Llierca,19,Garrotxa,2026-02,false,41.42541,43.67,100,municipality,icgc_coast_v1r0_202602,,2026-08-21T18:23:41Z,0.2.0,,,complete,43.67,43.67,100,,official,default,true
171668,Sant Jordi Desvalls,20,Gironès,2026-02,false,15.364013,73.5444,100,municipality,icgc_coast_v1r0_202602,,2026-08-21T18:23:41Z,0.2.0,,,complete,73.5444,73.5444,100,,official,default,true
