municipality_code,municipality_name,comarca_code,comarca_name,reference_period,avg_monthly_rent_eur,avg_sale_price_eur,gross_yield_proxy_pct,score_0_100,confidence_0_100,data_scope,source_id,source_updated_at,retrieved_at,method_version,missing_reason,notes,score_status,score_min_0_100,score_max_0_100,coverage_weight_pct,rank_stability_0_100,source_tier,method_variant,usable_for_composite
081764,Pujalt,06,Anoia,2025,,,,,0,missing,gencat_incasol_qww9-bvhh;gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,missing_dependency,,engineering_pending,0,100,0,,official,default,false
081770,la Quar,14,Berguedà,2025,,,,,0,missing,gencat_incasol_qww9-bvhh;gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,missing_dependency,,engineering_pending,0,100,0,,official,default,false
081786,Rajadell,07,Bages,2025,,,,,0,missing,gencat_incasol_qww9-bvhh;gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,missing_dependency,,engineering_pending,0,100,0,,official,default,false
081799,Rellinars,40,Vallès Occidental,2025,,,,,0,missing,gencat_incasol_qww9-bvhh;gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,missing_dependency,,engineering_pending,0,100,0,,official,default,false
081803,Ripollet,40,Vallès Occidental,2025,730.3,203807.35,4.299943,36.6088,85,municipality,gencat_incasol_qww9-bvhh;gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,36.6088,36.6088,100,,official,default,true
081810,la Roca del Vallès,41,Vallès Oriental,2025,824.6,269868.94,3.666669,20.2644,85,municipality,gencat_incasol_qww9-bvhh;gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,20.2644,20.2644,100,,official,default,true
081825,el Pont de Vilomara i Rocafort,07,Bages,2025,600.77,126313.89,5.707401,72.9344,85,municipality,gencat_incasol_qww9-bvhh;gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,72.9344,72.9344,100,,official,default,true
081831,Roda de Ter,24,Osona,2025,548.98,131279.13,5.018132,55.1448,85,municipality,gencat_incasol_qww9-bvhh;gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,55.1448,55.1448,100,,official,default,true
081846,Rubí,40,Vallès Occidental,2025,783.12,200818.14,4.679577,46.4069,85,municipality,gencat_incasol_qww9-bvhh;gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,46.4069,46.4069,100,,official,default,true
081859,Rubió,06,Anoia,2025,,,,,0,missing,gencat_incasol_qww9-bvhh;gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,missing_dependency,,engineering_pending,0,100,0,,official,default,false
081878,Sabadell,40,Vallès Occidental,2025,820.9,202372.12,4.867667,51.2614,85,municipality,gencat_incasol_qww9-bvhh;gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,51.2614,51.2614,100,,official,default,true
081884,Sagàs,14,Berguedà,2025,,,,,0,missing,gencat_incasol_qww9-bvhh;gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,missing_dependency,,engineering_pending,0,100,0,,official,default,false
081897,Sant Pere Sallavinera,06,Anoia,2025,,,,,0,missing,gencat_incasol_qww9-bvhh;gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,missing_dependency,,engineering_pending,0,100,0,,official,default,false
081901,Saldes,14,Berguedà,2025,368.8,,,,0,missing,gencat_incasol_qww9-bvhh;gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,missing_dependency,,engineering_pending,0,100,0,,official,default,false
081918,Sallent,07,Bages,2025,533.82,95811.3,6.685892,98.1886,85,municipality,gencat_incasol_qww9-bvhh;gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,98.1886,98.1886,100,,official,default,true
