municipality_code,municipality_name,comarca_code,comarca_name,reference_period,population_current,population_1y_ago,population_5y_ago,population_change_5y,growth_1y_pct,cagr_5y_pct,trend_score,scale_adjusted_growth_score,score_0_100,confidence_0_100,data_scope,source_id,source_updated_at,retrieved_at,method_version,missing_reason,notes,score_status,score_min_0_100,score_max_0_100,coverage_weight_pct,rank_stability_0_100,source_tier,method_variant,usable_for_composite
171740,Sant Miquel de Campmajor,28,Pla de l'Estany,2025,258,254,229,29,1.574803,2.413414,84.3724,62.5469,77.8247,100,municipality,idescat_pmh_446_477,,2026-08-21T21:48:17Z,0.2.0,,,complete,77.8247,77.8247,100,,official,annual_trend_scale_adjusted,true
171753,Sant Miquel de Fluvià,02,Alt Empordà,2025,860,839,761,99,2.50298,2.47614,85.8543,74.3189,82.3937,100,municipality,idescat_pmh_446_477,,2026-08-21T21:48:17Z,0.2.0,,,complete,82.3937,82.3937,100,,official,annual_trend_scale_adjusted,true
171766,Sant Mori,02,Alt Empordà,2025,163,163,166,-3,0,-0.364087,18.7546,15.7365,17.8492,100,municipality,idescat_pmh_446_477,,2026-08-21T21:48:17Z,0.2.0,,,complete,17.8492,17.8492,100,,official,annual_trend_scale_adjusted,true
171772,Sant Pau de Segúries,31,Ripollès,2025,719,724,688,31,-0.690608,0.885347,48.2722,63.178,52.7439,100,municipality,idescat_pmh_446_477,,2026-08-21T21:48:17Z,0.2.0,,,complete,52.7439,52.7439,100,,official,annual_trend_scale_adjusted,true
171788,Sant Pere Pescador,02,Alt Empordà,2025,2290,2241,2090,200,2.186524,1.844561,70.9334,81.1451,73.9969,100,municipality,idescat_pmh_446_477,,2026-08-21T21:48:17Z,0.2.0,,,complete,73.9969,73.9969,100,,official,annual_trend_scale_adjusted,true
171805,Santa Coloma de Farners,34,Selva,2025,13993,13657,13363,630,2.460277,0.925608,49.2233,92.3307,62.1555,100,municipality,idescat_pmh_446_477,,2026-08-21T21:48:17Z,0.2.0,,,complete,62.1555,62.1555,100,,official,annual_trend_scale_adjusted,true
171812,Santa Cristina d'Aro,10,Baix Empordà,2025,5987,5866,5287,700,2.062734,2.517968,86.8424,93.3593,88.7975,100,municipality,idescat_pmh_446_477,,2026-08-21T21:48:17Z,0.2.0,,,complete,88.7975,88.7975,100,,official,annual_trend_scale_adjusted,true
171827,Santa Llogaia d'Àlguema,02,Alt Empordà,2025,396,397,368,28,-0.251889,1.477433,62.2601,62.2154,62.2467,100,municipality,idescat_pmh_446_477,,2026-08-21T21:48:17Z,0.2.0,,,complete,62.2467,62.2467,100,,official,annual_trend_scale_adjusted,true
171833,Sant Aniol de Finestres,19,Garrotxa,2025,382,372,345,37,2.688172,2.058423,75.9858,64.8582,72.6475,100,municipality,idescat_pmh_446_477,,2026-08-21T21:48:17Z,0.2.0,,,complete,72.6475,72.6475,100,,official,annual_trend_scale_adjusted,true
171848,Santa Pau,19,Garrotxa,2025,1579,1611,1614,-35,-1.986344,-0.437517,17.0199,0,11.9139,100,municipality,idescat_pmh_446_477,,2026-08-21T21:48:17Z,0.2.0,,,complete,11.9139,11.9139,100,,official,annual_trend_scale_adjusted,true
171851,Sant Joan les Fonts,19,Garrotxa,2025,3167,3111,3044,123,1.800064,0.795393,46.1471,76.4222,55.2296,100,municipality,idescat_pmh_446_477,,2026-08-21T21:48:17Z,0.2.0,,,complete,55.2296,55.2296,100,,official,annual_trend_scale_adjusted,true
171864,Sarrià de Ter,20,Gironès,2025,5406,5392,5229,177,0.259644,0.668009,43.1376,79.9569,54.1834,100,municipality,idescat_pmh_446_477,,2026-08-21T21:48:17Z,0.2.0,,,complete,54.1834,54.1834,100,,official,annual_trend_scale_adjusted,true
171870,"Saus, Camallera i Llampaies",02,Alt Empordà,2025,897,898,856,41,-0.111359,0.940101,49.5657,65.8368,54.447,100,municipality,idescat_pmh_446_477,,2026-08-21T21:48:17Z,0.2.0,,,complete,54.447,54.447,100,,official,annual_trend_scale_adjusted,true
171886,la Selva de Mar,02,Alt Empordà,2025,223,220,195,28,1.363636,2.719773,91.61,62.2154,82.7916,100,municipality,idescat_pmh_446_477,,2026-08-21T21:48:17Z,0.2.0,,,complete,82.7916,82.7916,100,,official,annual_trend_scale_adjusted,true
171899,la Cellera de Ter,34,Selva,2025,2027,2014,1950,77,0.645482,0.777557,45.7257,71.8896,53.5749,100,municipality,idescat_pmh_446_477,,2026-08-21T21:48:17Z,0.2.0,,,complete,53.5749,53.5749,100,,official,annual_trend_scale_adjusted,true
171903,Serinyà,28,Pla de l'Estany,2025,1228,1198,1133,95,2.504174,1.623393,65.7083,73.9198,68.1717,100,municipality,idescat_pmh_446_477,,2026-08-21T21:48:17Z,0.2.0,,,complete,68.1717,68.1717,100,,official,annual_trend_scale_adjusted,true
171910,Serra de Daró,10,Baix Empordà,2025,240,229,222,18,4.803493,1.57145,64.4812,58.0809,62.5611,100,municipality,idescat_pmh_446_477,,2026-08-21T21:48:17Z,0.2.0,,,complete,62.5611,62.5611,100,,official,annual_trend_scale_adjusted,true
171925,Setcases,31,Ripollès,2025,195,191,170,25,2.094241,2.782017,93.0805,61.1477,83.5007,100,municipality,idescat_pmh_446_477,,2026-08-21T21:48:17Z,0.2.0,,,complete,83.5007,83.5007,100,,official,annual_trend_scale_adjusted,true
171931,Sils,34,Selva,2025,6920,6720,6219,701,2.97619,2.159112,78.3645,93.3733,82.8671,100,municipality,idescat_pmh_446_477,,2026-08-21T21:48:17Z,0.2.0,,,complete,82.8671,82.8671,100,,official,annual_trend_scale_adjusted,true
171946,Susqueda,34,Selva,2025,103,97,93,10,6.185567,2.063594,76.1079,52.737,69.0966,100,municipality,idescat_pmh_446_477,,2026-08-21T21:48:17Z,0.2.0,,,complete,69.0966,69.0966,100,,official,annual_trend_scale_adjusted,true
171959,la Tallada d'Empordà,10,Baix Empordà,2025,490,478,454,36,2.51046,1.537869,63.6879,64.5975,63.9608,100,municipality,idescat_pmh_446_477,,2026-08-21T21:48:17Z,0.2.0,,,complete,63.9608,63.9608,100,,official,annual_trend_scale_adjusted,true
171962,Terrades,02,Alt Empordà,2025,337,345,338,-1,-2.318841,-0.059242,25.9565,22.5139,24.9237,100,municipality,idescat_pmh_446_477,,2026-08-21T21:48:17Z,0.2.0,,,complete,24.9237,24.9237,100,,official,annual_trend_scale_adjusted,true
