municipality_code,municipality_name,comarca_code,comarca_name,reference_period,price_eur_m2_current,price_eur_m2_1y_ago,price_eur_m2_3y_ago,growth_1y_pct,cagr_3y_pct,score_0_100,confidence_0_100,data_scope,source_id,source_updated_at,retrieved_at,method_version,missing_reason,notes,score_status,score_min_0_100,score_max_0_100,coverage_weight_pct,rank_stability_0_100,source_tier,method_variant,usable_for_composite
080749,Cubelles,17,Garraf,2022-2025,2676.13,2389.72,2172.5,11.985086,7.196961,71.7239,90,municipality,gencat_housing_sales_2022_2024_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,71.7239,71.7239,100,,official,default,true
080752,Dosrius,21,Maresme,2022-2025,2259.78,1688.72,1515.75,33.816145,14.238597,100,90,municipality,gencat_housing_sales_2022_2024_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,100,100,100,,official,default,true
080765,Esparreguera,11,Baix Llobregat,2022-2025,2291.04,2048.31,1881.38,11.850257,6.787081,68.3547,90,municipality,gencat_housing_sales_2022_2024_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,68.3547,68.3547,100,,official,default,true
080771,Esplugues de Llobregat,11,Baix Llobregat,2022-2025,3817.4,3485.37,3282.08,9.526392,5.16539,55.0245,90,municipality,gencat_housing_sales_2022_2024_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,55.0245,55.0245,100,,official,default,true
080787,l'Espunyola,14,Berguedà,2022-2025,,,,,,,0,missing,gencat_housing_sales_2022_2024_2025,,2026-08-21T21:48:17Z,0.2.0,insufficient_history,,methodology_pending,0,100,0,,official,default,false
080790,l'Estany,42,Moianès,2022-2025,,,,,,,0,missing,gencat_housing_sales_2022_2024_2025,,2026-08-21T21:48:17Z,0.2.0,insufficient_history,,methodology_pending,0,100,0,,official,default,false
080804,Fígols,14,Berguedà,2022-2025,,,,,,,0,missing,gencat_housing_sales_2022_2024_2025,,2026-08-21T21:48:17Z,0.2.0,insufficient_history,,methodology_pending,0,100,0,,official,default,false
080811,Fogars de Montclús,41,Vallès Oriental,2022-2025,,,,,,,0,missing,gencat_housing_sales_2022_2024_2025,,2026-08-21T21:48:17Z,0.2.0,insufficient_history,,methodology_pending,0,100,0,,official,default,false
080826,Fogars de la Selva,34,Selva,2022-2025,,,,,,,0,missing,gencat_housing_sales_2022_2024_2025,,2026-08-21T21:48:17Z,0.2.0,insufficient_history,,methodology_pending,0,100,0,,official,default,false
080832,Folgueroles,24,Osona,2022-2025,3313.41,,,,,,0,missing,gencat_housing_sales_2022_2024_2025,,2026-08-21T21:48:17Z,0.2.0,insufficient_history,,methodology_pending,0,100,0,,official,default,false
080847,Fonollosa,07,Bages,2022-2025,,,,,,,0,missing,gencat_housing_sales_2022_2024_2025,,2026-08-21T21:48:17Z,0.2.0,insufficient_history,,methodology_pending,0,100,0,,official,default,false
080850,Font-rubí,03,Alt Penedès,2022-2025,,,,,,,0,missing,gencat_housing_sales_2022_2024_2025,,2026-08-21T21:48:17Z,0.2.0,insufficient_history,,methodology_pending,0,100,0,,official,default,false
080863,les Franqueses del Vallès,41,Vallès Oriental,2022-2025,2608.74,2623.45,2053.69,-0.560712,8.300876,80.798,90,municipality,gencat_housing_sales_2022_2024_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,80.798,80.798,100,,official,default,true
080879,Gallifa,40,Vallès Occidental,2022-2025,,,,,,,0,missing,gencat_housing_sales_2022_2024_2025,,2026-08-21T21:48:17Z,0.2.0,insufficient_history,,methodology_pending,0,100,0,,official,default,false
080885,la Garriga,41,Vallès Oriental,2022-2025,2640.65,2291.64,2168.08,15.229704,6.793588,68.4082,90,municipality,gencat_housing_sales_2022_2024_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,68.4082,68.4082,100,,official,default,true
080898,Gavà,11,Baix Llobregat,2022-2025,3991.4,3593.05,3264.56,11.086681,6.930156,69.5308,90,municipality,gencat_housing_sales_2022_2024_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,69.5308,69.5308,100,,official,default,true
080902,Gaià,07,Bages,2022-2025,,,,,,,0,missing,gencat_housing_sales_2022_2024_2025,,2026-08-21T21:48:17Z,0.2.0,insufficient_history,,methodology_pending,0,100,0,,official,default,false
