municipality_code,municipality_name,comarca_code,comarca_name,reference_period,resident_population,non_resident_present,resident_absent,population_etca,population_etca_pct,etca_pressure,hut_count,hut_per_1000,hotel_count,rural_count,camping_count,tourist_establishments_count,tourist_establishments_per_1000,ieet_available,ieet_total_eur,ieet_hut_eur,ieet_eur_per_resident,etca_score,hut_density_score,tourist_supply_score,ieet_score,score_0_100,confidence_0_100,data_scope,source_id,source_updated_at,retrieved_at,method_version,missing_reason,notes,score_status,score_min_0_100,score_max_0_100,coverage_weight_pct,rank_stability_0_100,source_tier,method_variant,usable_for_composite
171616,Sant Feliu de Pallerols,19,Garrotxa,2024,1670,113,-264,1519,91,0.909581,20,11.976048,4,16,1,41,24.550898,false,,,,7.2252,12.2439,17.4654,,10.5279,75,municipality,idescat_etca;gencat_tourism_registry_t2h3-cgys,,2026-08-21T21:48:17Z,0.2.0,,IEET municipal not used; score is the documented base formula.,complete,10.5279,10.5279,100,,official,default,true
171621,Sant Ferriol,19,Garrotxa,2024,,,,,,,10,40.322581,2,8,0,20,80.645161,false,,,,,41.2244,57.8986,,,0,missing,idescat_etca;gencat_tourism_registry_t2h3-cgys,,2026-08-21T21:48:17Z,0.2.0,not_published,ETCA is not published for every municipality.,engineering_pending,0,100,0,,official,default,false
171637,Sant Gregori,20,Gironès,2024,4244,876,-674,4446,104.8,1.047597,18,4.241282,0,14,1,33,7.775683,false,,,,27.5807,4.3361,5.3737,,17.3282,75,municipality,idescat_etca;gencat_tourism_registry_t2h3-cgys,,2026-08-21T21:48:17Z,0.2.0,,IEET municipal not used; score is the documented base formula.,complete,17.3282,17.3282,100,,official,default,true
171642,Sant Hilari Sacalm,34,Selva,2024,5969,432,-671,5730,96,0.95996,52,8.711677,7,8,1,68,11.392193,false,,,,14.6554,8.9065,7.9805,,11.8832,75,municipality,idescat_etca;gencat_tourism_registry_t2h3-cgys,,2026-08-21T21:48:17Z,0.2.0,,IEET municipal not used; score is the documented base formula.,complete,11.8832,11.8832,100,,official,default,true
171655,Sant Jaume de Llierca,19,Garrotxa,2024,851,566,-141,1276,149.9,1.499412,12,14.101058,0,0,0,12,14.101058,false,,,,94.2177,14.4164,9.933,,57.4104,75,municipality,idescat_etca;gencat_tourism_registry_t2h3-cgys,,2026-08-21T21:48:17Z,0.2.0,,IEET municipal not used; score is the documented base formula.,complete,57.4104,57.4104,100,,official,default,true
171668,Sant Jordi Desvalls,20,Gironès,2024,,,,,,,17,19.296254,0,2,0,19,21.566402,false,,,,,19.7278,15.3141,,,0,missing,idescat_etca;gencat_tourism_registry_t2h3-cgys,,2026-08-21T21:48:17Z,0.2.0,not_published,ETCA is not published for every municipality.,engineering_pending,0,100,0,,official,default,false
171674,Sant Joan de les Abadesses,31,Ripollès,2024,3373,419,-388,3404,100.9,1.009191,79,23.421287,3,25,1,108,32.018974,false,,,,21.9164,23.9451,22.8484,,22.61,75,municipality,idescat_etca;gencat_tourism_registry_t2h3-cgys,,2026-08-21T21:48:17Z,0.2.0,,IEET municipal not used; score is the documented base formula.,complete,22.61,22.61,100,,official,default,true
171680,Sant Joan de Mollet,20,Gironès,2024,,,,,,,1,1.865672,0,0,0,1,1.865672,false,,,,,1.9074,1.1137,,,0,missing,idescat_etca;gencat_tourism_registry_t2h3-cgys,,2026-08-21T21:48:17Z,0.2.0,not_published,ETCA is not published for every municipality.,engineering_pending,0,100,0,,official,default,false
171693,Sant Julià de Ramis,20,Gironès,2024,3639,240,-703,3176,87.3,0.872767,15,4.122012,4,0,0,19,5.221215,false,,,,1.7957,4.2142,3.5324,,2.7477,75,municipality,idescat_etca;gencat_tourism_registry_t2h3-cgys,,2026-08-21T21:48:17Z,0.2.0,,IEET municipal not used; score is the documented base formula.,complete,2.7477,2.7477,100,,official,default,true
171707,Vallfogona de Ripollès,31,Ripollès,2024,,,,,,,2,8.96861,0,9,1,12,53.811659,false,,,,,9.1692,38.5568,,,0,missing,idescat_etca;gencat_tourism_registry_t2h3-cgys,,2026-08-21T21:48:17Z,0.2.0,not_published,ETCA is not published for every municipality.,engineering_pending,0,100,0,,official,default,false
171714,Sant Llorenç de la Muga,02,Alt Empordà,2024,,,,,,,12,48.582996,2,5,1,20,80.97166,false,,,,,49.6695,58.1339,,,0,missing,idescat_etca;gencat_tourism_registry_t2h3-cgys,,2026-08-21T21:48:17Z,0.2.0,not_published,ETCA is not published for every municipality.,engineering_pending,0,100,0,,official,default,false
171729,Sant Martí de Llémena,20,Gironès,2024,,,,,,,8,11.004127,0,11,0,19,26.134801,false,,,,,11.2502,18.6071,,,0,missing,idescat_etca;gencat_tourism_registry_t2h3-cgys,,2026-08-21T21:48:17Z,0.2.0,not_published,ETCA is not published for every municipality.,engineering_pending,0,100,0,,official,default,false
171735,Sant Martí Vell,20,Gironès,2024,,,,,,,10,37.037037,1,5,0,16,59.259259,false,,,,,37.8653,42.4835,,,0,missing,idescat_etca;gencat_tourism_registry_t2h3-cgys,,2026-08-21T21:48:17Z,0.2.0,not_published,ETCA is not published for every municipality.,engineering_pending,0,100,0,,official,default,false
171740,Sant Miquel de Campmajor,28,Pla de l'Estany,2024,,,,,,,3,11.673152,0,4,1,8,31.128405,false,,,,,11.9342,22.2065,,,0,missing,idescat_etca;gencat_tourism_registry_t2h3-cgys,,2026-08-21T21:48:17Z,0.2.0,not_published,ETCA is not published for every municipality.,engineering_pending,0,100,0,,official,default,false
171753,Sant Miquel de Fluvià,02,Alt Empordà,2024,,,,,,,19,22.144522,0,0,0,19,22.144522,false,,,,,22.6398,15.7308,,,0,missing,idescat_etca;gencat_tourism_registry_t2h3-cgys,,2026-08-21T21:48:17Z,0.2.0,not_published,ETCA is not published for every municipality.,engineering_pending,0,100,0,,official,default,false
